Undergraduate,Built Environment And Architecture,HND,Building Services Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/building-services-engineering-2022-23
Undergraduate,Built Environment And Architecture,BEng (Hons),Civil Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/civil-engineering-beng-hons
Undergraduate,Built Environment And Architecture,BSc (Hons),Building Surveying,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-building-surveying-2022-23
Undergraduate,Built Environment And Architecture,BEng (Hons),Building Services Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/building-services-engineering-beng-hons
Undergraduate,Built Environment And Architecture,BSc (Hons),Architectural Technology,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/architectural-technology-2022-23
Undergraduate,Built Environment And Architecture,BA (Hons),Architecture,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-architecture-2022-23
Undergraduate,Built Environment And Architecture,BSc (Hons),Quantity Surveying,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-quantity-surveying-2022-23
Undergraduate,Built Environment And Architecture,BSc (Hons),Construction Management,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-construction-management-2022-23
Undergraduate,Business,,International Diploma Programme,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/international-diploma-programme
Undergraduate,Business,CertHE,Accounting and Finance,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/certhe-accounting-and-finance-2022-23
Undergraduate,Business,,Business Foundation Year ,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/business-foundation-year-2022-23
Undergraduate,Business,BA (Hons),International Business Management Top-up,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/international-business-management-top-up-ba-hons
Undergraduate,Business,BSc (Hons),Economics,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-economics-2022-23
Undergraduate,Business,BSc (Hons),Economics (Finance pathway),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-economics-finance-pathway-2022-23
Undergraduate,Business,BA (Hons),Business Management (Finance pathway,Croydon Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-finance-2022-23
Undergraduate,Business,BA (Hons),Business Management,Southwark Campus;Croydon Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-2022-23
Undergraduate,Business,BSc (Hons),Marketing with Digital,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-marketing-with-digital-september-start
Undergraduate,Business,BA (Hons),Accounting and Finance,Southwark Campus;Croydon Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-accounting-and-finance-2022-23
Undergraduate,Business,BA (Hons),Business Management (Marketing pathway),Croydon Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-marketing-2022-23
Undergraduate,Business,BA (Hons),Business Management (Accounting pathway),Croydon Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-with-accounting-2022-23
Undergraduate,Business,BA (Hons),Business Management (Digital Innovation pathway),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-digital-innovation-september-start-2022-23
Undergraduate,Engineering,,Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/engineering-extended-degree
Undergraduate,Engineering,BTEC HND,Chemical Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/chemical-engineering-btec-hnd
Undergraduate,Engineering,BSc (Hons),Computer Science,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/computer-science-top-up-bsc
Undergraduate,Engineering,BSc (Hons),Information Technology,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/information-technology-top-up-bsc
Undergraduate,Engineering,BEng (Hons),Advanced Vehicle Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/advanced-vehicle-engineering-beng
Undergraduate,Engineering,BEng (Hons),Mechanical Engineering and Design,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/mechanical-engineering-design-beng-top-up
Undergraduate,Engineering,MEng (Hons),Chemical Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/chemical-engineering-meng-hons
Undergraduate,Engineering,MEng (Hons),Chemical and Energy Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/chemical-and-energy-engineering-meng-hons
Undergraduate,Engineering,BEng (Hons),Electronic and Computer Systems Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/electronic-and-computer-systems-engineering
Undergraduate,Engineering,BEng (Hons),Advanced Vehicle Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/beng-hons-mechanical-engineering-advanced-vehicle-engineering-2022-23
Undergraduate,Engineering,BEng (Hons),Electrical Power Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/beng-hons-electrical-power-engineering-2022-23
Undergraduate,Engineering,BEng (Hons),Electrical and Electronic Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/beng-hons-electrical-electronic-engineering-2022-23
Undergraduate,Engineering,BSc (Hons),Product Design,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-product-design-2022-23
Undergraduate,Engineering,BSc (Hons),Mechanical Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/beng-hons-mechanical-engineering-2022-23
Undergraduate,Engineering,BEng (Hons),Chemical and Energy Engineering,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/beng-hons-chemical-engineering-energy-2022-23
Undergraduate,Engineering,BSc (Hons),Engineering Product Design,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-engineering-product-design-2022-23
Undergraduate,Health And Social Care,BSc (Hons),School Nursing (Specialist Community Public Health Nursing),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/school-nursing-community-public-health-nursing-bsc-hons
Undergraduate,Health And Social Care,BSc (Hons),Workplace Health Management,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/grad-cert-bsc-workplace-health-management
Undergraduate,Health And Social Care,BSc (Hons),Health Visiting (Specialist Community Public Health Nursing),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/health-visiting-community-public-health-nursing-bsc-hons
Undergraduate,Health And Social Care,BSc (Hons),Occupational Therapy,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-occupational-therapy-2022-23
Undergraduate,Health And Social Care,Integrated Masters,Chiropractic,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/imsc-chiropractic-2022-23
Undergraduate,Health And Social Care,BA (Hons),Social Work,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-social-work-2022-23
Undergraduate,Health And Social Care,Foundation Course,Health and Social Care,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/hscfoundationyear
Undergraduate,Health And Social Care,BSc (Hons),Children's Nursing,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/childrens-nursing-bsc-hons
Undergraduate,Health And Social Care,BSc (Hons),Dental Hygiene,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/dental-hygiene-2022-23
Undergraduate,Health And Social Care,BSc (Hons),Dental Therapy,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/dental-therapy-2022-23
Undergraduate,Health And Social Care,BSc (Hons),Diagnostic Radiography,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-diagnostic-radiography-2022-23
Undergraduate,Health And Social Care,BSc (Hons),Adult Nursing,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-adult-nursing-2022-23
Undergraduate,Health And Social Care,BSc (Hons),Mental Health Nursing,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-mental-health-nursing-2022-23
Undergraduate,Health And Social Care,BSc (Hons),Therapeutic Radiography,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-therapeutic-radiography-2022-23
Undergraduate,Health And Social Care,BSc (Hons),Operating Department Practice,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-operating-department-practice-2022-23
Undergraduate,Health And Social Care,BSc (Hons),Learning Disability Nursing,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-learning-disability-nursing-2022-23
Undergraduate,Law And Social Sciences,BA (Hons),Education,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-education-2022-23
Undergraduate,Law And Social Sciences,BA (Hons),Politics,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/politics-202223
Undergraduate,Law And Social Sciences,BA (Hons),Urban and Environmental Planning,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-urban-environmental-planning-2022-23
Undergraduate,Law And Social Sciences,LLB (Hons),Law (Criminology) ,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/llb-hons-criminology-2022-23
Undergraduate,Law And Social Sciences,LLB (Hons),Law (Criminal Law),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/llb-hons-criminal-law-2022-23
Undergraduate,Law And Social Sciences,BA (Hons),Politics (Social Policy),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-politics-social-policy-2022-23
Undergraduate,Law And Social Sciences,BA (Hons),Sociology (Criminology),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-sociology-criminology-2022-23
Undergraduate,Law And Social Sciences,LLB (Hons),Law,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/llb-hons-law-2022-23
Undergraduate,Law And Social Sciences,BSc (Hons),Criminology,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-criminology-2022-23
Undergraduate,Law And Social Sciences,BSc (Hons),Sociology,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-sociology-2022-23
Undergraduate,Law And Social Sciences,BSc (Hons),Criminology with Psychology,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-criminology-psychology-2022-23
Undergraduate,Law And Social Sciences,BA (Hons),International Relations (Social Policy),Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/international-relations-with-social-policy-ba-hons-2022-23
Undergraduate,Law And Social Sciences,BA (Hons),International Relations,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/international-relations-ba-hons-2022-23
Undergraduate,Law And Social Sciences,BA (Hons),Politics and International Relations ,Southwark Campus,https://www.lsbu.ac.uk/study/course-finder/ba-hons-politics-international-relations-2022-23
CourseLevel,School,Qualification,Subject,Location,Link
Postgraduate,Applied Sciences,MSc,Psychology,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/psychology-msc
Postgraduate,Applied Sciences,MSc,Mental Health and Clinical Psychology ,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/mental-health-clinical-psychology-msc
Postgraduate,Arts And Creative Industries,MA,Creative Performance Practice,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/creative-performance-practice-ma
Postgraduate,Arts And Creative Industries,MA,Curating Art and Public Programmes,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/curating-art-and-public-programmes-in-collaboration-with-whitechapel-gallery
Postgraduate,Built Environment And Architecture,MArch,Architecture,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/architecture-march
Postgraduate,Built Environment And Architecture,MSc,Civil Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/civil-engineering-msc
Postgraduate,Built Environment And Architecture,MSc,Structural Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/structural-engineering-msc
Postgraduate,Built Environment And Architecture,PgDip; MSc; Top-up to MSc,Real Estate,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/real-estate-msc
Postgraduate,Built Environment And Architecture,MSc,Building Services Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/building-services-engineering-msc
Postgraduate,Built Environment And Architecture,MSc; PgDip,Building Surveying,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/building-surveying-msc
Postgraduate,Built Environment And Architecture,MSc,Construction Project Management,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/construction-project-management-msc
Postgraduate,Built Environment And Architecture,PgDip; MSc,Quantity Surveying,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/quantity-surveying-msc
Postgraduate,Built Environment And Architecture,MSc,Environmental and Architectural Acoustics,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/environmental-architectural-acoustics-msc
Postgraduate,Business,MSc,International Business Management,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-business-management-msc
Postgraduate,Business,MSc,Marketing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/marketing-msc
Postgraduate,Business,MSc,International Business Management (with internship),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-business-management-internship-msc
Postgraduate,Business,MSc,International Business Management with HRM,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-business-management-hrm-msc
Postgraduate,Business,MSc,International Business Management with Marketing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-business-management-marketing-msc
Postgraduate,Business,MSc,International Business Management with Project Management,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-business-management-project-management-msc
Postgraduate,Business,MSc,Business Project Management,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/business-project-management-msc
Postgraduate,Business,MSc,International Marketing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-marketing-msc
Postgraduate,Business,MSc,Business Project Management (with internship),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/business-project-management-with-internship
Postgraduate,Business,MSc,International Marketing (with internship),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-marketing-with-internship
Postgraduate,Business,MSc,International Finance,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-finance-msc
Postgraduate,Business,MSc,International Accounting and Finance,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-accounting-finance-msc
Postgraduate,Business,MSc,International Finance (with internship),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-finance-with-internship
Postgraduate,Business,MSc,nternational Economics and Strategy (with Internship option),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/msc-international-economics-and-strategy
Postgraduate,Business,MSc,Master of Business Administration (International Management),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/master-business-administration-international-management
Postgraduate,Business,MSc,International Accounting and Finance (with internship),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-accounting-and-finance-with-internship
Postgraduate,Engineering,MSc,Data Science,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/data-science-msc
Postgraduate,Engineering,MSc,Mechanical Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/mechanical-engineering-msc
Postgraduate,Engineering,MSc,Process Safety,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/msc-process-safety
Postgraduate,Engineering,MSc,Advanced Chemical Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/msc-advanced-chemical-engineering
Postgraduate,Engineering,MSc,Future Energy Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/msc-future-energy-engineering
Postgraduate,Engineering,MSc,Applied Artificial Intelligence,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/msc-applied-artificial-intelligence
Postgraduate,Engineering,MSc,Anthroengineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/anthroengineering-2022-23
Postgraduate,Engineering,MSc,Electrical and Electronic Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/electrical-electronic-engineering-msc
Postgraduate,Engineering,MSc,Mechanical Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/meng-beng-hons-mechanical-engineering-2022-23
Postgraduate,Engineering,MSc,Advanced Vehicle Engineering,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/advanced-vehicle-engineering-meng
Postgraduate,Health And Social Care,MSc,Children's Nursing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/childrens-nursing-msc
Postgraduate,Health And Social Care,PgDip,Health Visiting (Specialist Community Public Health Nursing),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/health-visiting-specialist-community-public-health-nursing-pgdip
Postgraduate,Health And Social Care,MSc,Masters in Nursing (International),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/masters-in-nursing-international-msc
Postgraduate,Health And Social Care,PG Diploma,Midwifery,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/pg-diploma-midwifery
Postgraduate,Health And Social Care,MA,Social Work,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/ma-social-work-2022-23
Postgraduate,Health And Social Care,PgDip / MSc,Children's Nursing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/childrens-nursing-pre-registration-pgdip
Postgraduate,Health And Social Care,PgDip / MSc,Mental Health Nursing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/mental-health-nursing-pre-registration-pgdip
Postgraduate,Health And Social Care,PgDip; MSc,Adult Nursing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/adult-nursing-pre-registration-pgdip
Postgraduate,Health And Social Care,PgDip / MSc,Learning Disability Nursing,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/learning-disability-nursing-pgdip
Postgraduate,Health And Social Care,PgDip; MSc ; MSc (Top-up),Therapeutic Radiography (pre-registration),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/therapeutic-radiography-pre-registration-pgdip-msc
Postgraduate,Health And Social Care,MSc; PgDip,Occupational Therapy (pre-registration mode),Southark Campus,https://www.lsbu.ac.uk/study/course-finder/msc-occupational-therapy-pre-registration-2022-23
Postgraduate,Law And Social Sciences,PGCE,School Direct,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/school-direct
Postgraduate,Law And Social Sciences,PGCE,Primary,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/primary-pgce
Postgraduate,Law And Social Sciences,LLM,International Commercial Law,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-commercial-law-llm
Postgraduate,Law And Social Sciences,MA,Urban Design and Planning ,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/urban-design-planning-ma
Postgraduate,Law And Social Sciences,LLM; PgDip,International Human Rights and Development,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/international-human-rights-development-llm
Postgraduate,Law And Social Sciences,PgDip; MA,Town and Country Planning,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/town-and-country-planning
Postgraduate,Law And Social Sciences,PgDip / LLM,Law Conversion Course: incorporating the CPE ,Southark Campus,https://www.lsbu.ac.uk/study/course-finder/law-conversion-legal-pgdip-cpe
